id,correct,score_concentration,score_control,score_recognition,score_society,script,scenario_id
1,false,0,7,5,5,"효율적인 방법이지만, 아이가 일어나는 과정에서 부모가 다칠 수 있음",1
2,false,0,5,7,5,"효율적인 방법이지만, 아이와 미리 상의되지 않은 경우, 강한 반발심을 유발함",1
3,true,0,10,10,10,"뇌가 잠에서 깨게 하기 위해서는 몸을 움직여야 하고, 피부에 물이 닿으면 잠에서 금방 깬다.",1
4,false,0,3,3,3,"잠에서 막 깬 아이의 경우, 잠에 덜 깬 상태에서 음식물이 목에 걸릴 수 있음",1
5,false,0,3,3,0,"신체적인 우위를 이용하여 강제하는 경우, 아이에게 트라우마가 될 수 있음",2
6,false,0,9,10,8,아이의 행동에 의해서 모든 것이 바뀌는 상황은 상황에 대한 인식을 정확하게 하지 않아 더 큰 문제를 야기할 수 있음,2
7,true,0,10,10,10,아이의 의견을 존중하면서도 아이의 별개로 구분되는 정형화된 행위를 보여주면 아이에게 모범적으로 비춰진다.,2
8,false,0,6,8,8,먹기 싫은 음식을 먹으면 보상을 준다고 하는 것은 해당 행위를 더 싫어지게 만들어지는 계기를 제공한다.,2
9,false,0,5,7,7,"나쁘지 않은 방법이지만, 교우관계가 완만하지 않은 경우에는 오히려 역효과를 야기함",3
10,false,0,3,7,4,"당장에는 상황을 모면할 수 있지만, 차후  정서 불안을 야기함",3
11,false,0,7,8,6,"아이에게 연락이 올 때, 항상 전화를 받고 안정시킬 수 있다면 괜찮으나, 전화를 못 받게 된다면 오히려 더 큰 분리불안을 야기함",3
12,true,0,10,10,10,"아이에게 자신이 굉장히 중요한 존재임을 상기시키고, 분리로 인한 불안함을 해소시켜주고, 다시 만날 수 있다는 확신을 심어줌",3
13,false,0,0,0,0,다른 아이들 앞에서 혼내는 행위는 수치심을 유발함,4
14,false,2,3,5,3,"다른 아이들 앞에서 혼나는 상황과 구별하지 못하고, 해당 행위에 대해서 동일하게 수치심을 느낌",4
15,false,6,5,8,7,"아이의 관심을 끌어올 수는 있겠지만, 아이의 자기 조절 능력의 감소를 유도함",4
16,true,10,10,10,10,"아이에게 적절한 관심을 주어 해당 그룹에서의 소속감을 부여하고, 해당 시간에 타인에게 집중해야 함을 배움",4
17,false,0,0,0,0,"반성하지 못하게 되고, 사회의 규칙을 무시하게 되고, 사회성이 떨어지게 됨",5
18,false,0,3,5,5,"스스로 이해하고 생각해내지 못한 상황에서 사과를 강요받는경우, 자기 비하적인 부정적인 사고를 가지게 된다.",5
19,true,0,10,10,10,"왜라는 질문은 아이에게 명확하지 못한 느낌을 주고, 스스로의 감정을 정리하는데 오히려 어려움을 제공함, 객관적이게 싸운 이유를 파악하고, 아이들에게 다른 입장을 제시해 준다면 스스로 생각을 통해서 문제를 해결함",5
20,false,0,6,3,7,"스스로 이해하고 생각해내지 못한 상황에서 사과를 강요받는경우, 자기 비하적인 부정적인 사고를 가지게 된다.",5
21,false,0,0,0,0,강제성을 띄면 그 순간에는 할 지라도 공부 자체에 대한 의지가 떨어지고 쾌락에 몰두하게 됨,6
22,true,10,10,10,10,"공부라는 하기 싫은 행위에 대해서 공감해주어 정당성을 부여해주고, 하고싶은 부분까지만 하게끔 함으로써 자신의 행동으로 통제하게 끔함",6
23,false,4,4,7,6,싫다는 것을 인정함에도 강제하여 자신의 감정이나 행위에 대한 통제력을 잃은 것 같은 느낌을 주어 자기 통제력과 절제력이 감소함,6
24,false,5,6,8,5,"어른 입장에서의 이유는 아이에게 도움이 되지 않고, 공감을 불러일으킬 수 없음",6
25,false,0,6,8,6,같이 있는 공간에서 아이들을 혼내면 감정적 안정성이 떨어지게 되기 때문임,7
26,false,0,4,6,4,"설사 모든 상황을 다 파악하고 있더라도, 한 아이의 편을 드는 행위로 보이는 행동은 힘에 의한 균형을 만듬",7
27,true,0,10,10,10,상대방과 분리된 환경에서 아이의 감정과 입장을 들어주고,7
28,false,0,5,7,8,"진심이 아닌 상황에서 부모에 의해서 사과하게 되면 오히려 억울한 부분이 생길 수 있고, 감정이 해결되지 않아 차후 더욱 심각한 문제를 초래함",7
29,false,0,4,6,4,아이에게 자기전 우유를 먹이는 행위는 잠을 자게 하는 것과 직접적인 관계가 없음,8
30,false,0,6,4,6,자기 전에 동적인 활동을 하게 될 경우 오히려 신경계를 활성화 시켜 수면을 방해함,8
31,false,0,0,0,0,"수면 시간이 불규칙적이게 되고, 이는 수면 습관에 악영향을 끼침",8
32,true,0,10,10,10,수면 의식이라고 불리는 행위를 강화하여,8
